# 31/12/2019 11:31:27 AM : Prices - EPEX Auction Intraday IDA2 Switzerland
Delivery day,Hour 1,Hour 2,Hour 3A,Hour 3B,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Minimum,Maximum,Baseload,Off-Peak 2
20/09/2019,,,,,,,,,,,,,,,,,,44.20,43.00,50.50,50.50,51.00,44.40,39.00,34.50,34.50,51.00,44.64,42.23
19/09/2019,,,,,,,,,,,,,,,,,,41.50,52.00,55.80,61.95,59.00,51.20,49.09,39.30,39.30,61.95,51.23,49.65
18/09/2019,,,,,,,,,,,,,,,,,,41.50,44.70,51.00,53.05,54.00,50.80,47.30,45.80,41.50,54.00,48.52,49.48
17/09/2019,,,,,,,,,,,,,,,,,,44.40,46.40,48.40,49.60,49.60,37.95,39.80,37.95,37.95,49.60,44.26,41.33
16/09/2019,,,,,,,,,,,,,,,,,,51.55,53.75,58.45,59.00,60.50,52.75,47.55,42.05,42.05,60.50,53.20,50.71
15/09/2019,,,,,,,,,,,,,,,,,,26.45,34.46,41.70,42.25,45.55,43.15,41.90,39.86,26.45,45.55,39.42,42.62
14/09/2019,,,,,,,,,,,,,,,,,,28.50,34.50,42.50,45.50,47.00,43.50,37.17,33.00,28.50,47.00,38.96,40.17
13/09/2019,,,,,,,,,,,,,,,,,,38.35,43.95,49.30,47.00,48.85,44.40,42.40,38.60,38.35,49.30,44.11,43.56
12/09/2019,,,,,,,,,,,,,,,,,,36.05,41.20,43.50,44.40,45.50,43.62,40.63,34.89,34.89,45.50,41.22,41.16
11/09/2019,,,,,,,,,,,,,,,,,,31.05,31.05,36.50,39.00,40.85,38.20,34.25,31.35,31.05,40.85,35.28,36.16
10/09/2019,,,,,,,,,,,,,,,,,,32.04,37.05,41.05,42.55,43.10,42.55,36.05,32.05,32.04,43.10,38.31,38.44
09/09/2019,,,,,,,,,,,,,,,,,,39.32,42.00,44.02,46.04,46.03,43.50,38.85,34.30,34.30,46.04,41.76,40.67
08/09/2019,,,,,,,,,,,,,,,,,,28.66,30.85,36.29,42.05,43.05,43.41,40.50,36.23,28.66,43.41,37.63,40.80
07/09/2019,,,,,,,,,,,,,,,,,,36.10,41.16,42.85,40.20,42.00,41.26,41.10,36.63,36.10,42.85,40.16,40.25
06/09/2019,,,,,,,,,,,,,,,,,,30.05,34.00,38.80,40.55,41.05,39.05,37.60,34.10,30.05,41.05,36.90,37.95
05/09/2019,,,,,,,,,,,,,,,,,,33.92,34.63,40.04,36.65,37.13,35.28,35.54,31.49,31.49,40.04,35.59,34.86
04/09/2019,,,,,,,,,,,,,,,,,,29.00,29.20,36.94,40.00,40.00,36.02,34.04,30.00,29.00,40.00,34.40,35.02
03/09/2019,,,,,,,,,,,,,,,,,,33.66,36.35,39.06,47.40,48.12,41.85,37.04,35.05,33.66,48.12,39.82,40.52
02/09/2019,,,,,,,,,,,,,,,,,,35.80,38.84,42.90,42.95,42.80,42.78,39.45,34.08,34.08,42.95,39.95,39.78
01/09/2019,,,,,,,,,,,,,,,,,,23.04,26.50,34.55,36.05,37.80,36.50,37.00,30.90,23.04,37.80,32.79,35.55
31/08/2019,,,,,,,,,,,,,,,,,,24.00,27.00,36.05,38.55,38.55,37.05,33.55,29.55,24.00,38.55,33.04,34.68
30/08/2019,,,,,,,,,,,,,,,,,,37.25,43.10,41.69,41.85,41.73,42.00,46.90,39.90,37.25,46.90,41.80,42.63
29/08/2019,,,,,,,,,,,,,,,,,,41.15,46.64,54.43,49.08,49.33,46.32,46.94,41.50,41.15,54.43,46.92,46.02
28/08/2019,,,,,,,,,,,,,,,,,,47.95,57.35,63.05,65.36,62.00,55.80,51.40,42.90,42.90,65.36,55.73,53.03
27/08/2019,,,,,,,,,,,,,,,,,,55.40,67.30,77.51,77.57,75.81,59.20,52.20,41.99,41.99,77.57,63.37,57.30
26/08/2019,,,,,,,,,,,,,,,,,,46.25,51.15,53.20,50.40,50.35,50.90,45.90,40.81,40.81,53.20,48.62,46.99
25/08/2019,,,,,,,,,,,,,,,,,,26.90,29.75,36.00,34.55,35.60,37.65,37.30,34.55,26.90,37.65,34.04,36.28
24/08/2019,,,,,,,,,,,,,,,,,,28.50,31.95,33.41,35.35,34.95,33.85,33.05,30.50,28.50,35.35,32.70,33.09
23/08/2019,,,,,,,,,,,,,,,,,,33.70,35.85,39.25,39.70,39.25,39.01,33.26,34.50,33.26,39.70,36.82,36.51
22/08/2019,,,,,,,,,,,,,,,,,,31.20,34.80,36.07,37.38,35.80,34.71,36.08,33.84,31.20,37.38,34.99,35.11
21/08/2019,,,,,,,,,,,,,,,,,,30.25,33.20,36.35,36.80,36.25,36.80,37.70,33.05,30.25,37.70,35.05,35.95
20/08/2019,,,,,,,,,,,,,,,,,,34.76,33.00,37.80,38.35,36.70,37.50,38.37,35.00,33.00,38.37,36.44,36.89
19/08/2019,,,,,,,,,,,,,,,,,,31.39,33.95,38.93,41.08,40.06,38.19,39.23,35.81,31.39,41.08,37.33,38.32
18/08/2019,,,,,,,,,,,,,,,,,,13.10,25.60,30.65,33.90,35.00,35.00,35.70,32.20,13.10,35.70,30.14,34.48
17/08/2019,,,,,,,,,,,,,,,,,,27.25,29.45,32.25,33.65,32.65,33.05,32.30,30.80,27.25,33.65,31.43,32.20
16/08/2019,,,,,,,,,,,,,,,,,,33.60,33.60,33.90,33.90,33.90,35.30,37.20,32.40,32.40,37.20,34.23,34.70
15/08/2019,,,,,,,,,,,,,,,,,,23.61,27.06,28.95,29.16,31.75,32.65,33.70,32.00,23.61,33.70,29.86,32.53
14/08/2019,,,,,,,,,,,,,,,,,,29.10,29.35,30.03,28.00,27.58,28.01,30.66,28.01,27.58,30.66,28.84,28.57
13/08/2019,,,,,,,,,,,,,,,,,,31.01,28.03,33.52,35.01,35.01,35.01,38.80,37.02,28.03,38.80,34.18,36.46
12/08/2019,,,,,,,,,,,,,,,,,,34.58,30.50,35.41,37.41,36.41,35.41,43.42,34.94,30.50,43.42,36.01,37.55
11/08/2019,,,,,,,,,,,,,,,,,,19.90,24.85,25.06,27.04,23.55,20.06,28.02,18.80,18.80,28.02,23.41,22.61
10/08/2019,,,,,,,,,,,,,,,,,,16.05,15.55,19.05,28.00,29.00,29.05,33.25,29.75,15.55,33.25,24.96,30.26
09/08/2019,,,,,,,,,,,,,,,,,,32.50,32.25,39.55,39.45,38.96,38.52,37.25,34.08,32.25,39.55,36.57,37.20
08/08/2019,,,,,,,,,,,,,,,,,,27.54,32.45,36.58,39.29,38.75,38.70,38.08,37.35,27.54,39.29,36.09,38.22
07/08/2019,,,,,,,,,,,,,,,,,,36.30,36.22,39.01,40.01,39.08,39.97,38.26,35.88,35.88,40.01,38.09,38.30
06/08/2019,,,,,,,,,,,,,,,,,,38.07,39.85,42.90,47.07,42.72,43.55,43.55,39.03,38.07,47.07,42.09,42.21
05/08/2019,,,,,,,,,,,,,,,,,,38.50,38.50,40.45,40.71,42.15,41.85,42.15,38.60,38.50,42.15,40.36,41.19
04/08/2019,,,,,,,,,,,,,,,,,,28.25,33.80,39.18,41.29,42.01,43.00,41.45,41.43,28.25,43.00,38.80,41.97
03/08/2019,,,,,,,,,,,,,,,,,,34.76,35.53,37.99,40.00,38.99,39.43,38.52,37.09,34.76,40.00,37.79,38.51
02/08/2019,,,,,,,,,,,,,,,,,,40.58,39.35,41.92,43.50,41.70,44.30,42.64,41.00,39.35,44.30,41.87,42.41
01/08/2019,,,,,,,,,,,,,,,,,,40.00,41.91,48.02,48.91,49.00,50.82,48.06,40.22,40.00,50.82,45.87,47.03
31/07/2019,,,,,,,,,,,,,,,,,,40.15,40.60,38.94,42.00,42.00,41.65,43.40,40.70,38.94,43.40,41.18,41.94
30/07/2019,,,,,,,,,,,,,,,,,,37.95,39.33,40.04,39.07,41.02,41.02,41.88,37.29,37.29,41.88,39.70,40.30
29/07/2019,,,,,,,,,,,,,,,,,,36.80,39.07,42.15,43.54,42.03,42.00,44.31,39.11,36.80,44.31,41.13,41.86
28/07/2019,,,,,,,,,,,,,,,,,,26.90,28.02,29.60,33.72,37.71,38.02,38.01,36.00,26.90,38.02,33.50,37.44
27/07/2019,,,,,,,,,,,,,,,,,,31.52,33.49,36.54,37.04,36.54,36.04,36.04,34.05,31.52,37.04,35.16,35.67
26/07/2019,,,,,,,,,,,,,,,,,,45.37,48.55,52.16,54.03,52.16,49.39,47.60,41.10,41.10,54.03,48.80,47.56
25/07/2019,,,,,,,,,,,,,,,,,,56.04,65.68,78.98,82.33,72.47,57.27,58.07,48.08,48.08,82.33,64.87,58.97
24/07/2019,,,,,,,,,,,,,,,,,,54.50,65.35,81.41,83.26,82.19,66.00,61.00,52.10,52.10,83.26,68.23,65.32
23/07/2019,,,,,,,,,,,,,,,,,,48.31,60.67,67.90,72.98,64.89,62.05,60.64,50.00,48.31,72.98,60.93,59.40
22/07/2019,,,,,,,,,,,,,,,,,,39.50,45.42,49.45,52.10,51.35,47.98,49.92,39.99,39.50,52.10,46.96,47.31
21/07/2019,,,,,,,,,,,,,,,,,,27.80,33.05,36.95,43.05,42.95,44.00,46.10,40.75,27.80,46.10,39.33,43.45
20/07/2019,,,,,,,,,,,,,,,,,,29.05,33.05,35.80,37.20,36.25,36.80,35.55,35.05,29.05,37.20,34.84,35.91
19/07/2019,,,,,,,,,,,,,,,,,,40.35,46.85,48.35,49.20,47.86,46.85,48.46,44.00,40.35,49.20,46.49,46.79
18/07/2019,,,,,,,,,,,,,,,,,,37.45,44.15,45.60,45.85,45.25,44.30,47.40,42.97,37.45,47.40,44.12,44.98
17/07/2019,,,,,,,,,,,,,,,,,,36.55,43.05,47.00,49.00,47.00,47.00,47.40,42.36,36.55,49.00,44.92,45.94
16/07/2019,,,,,,,,,,,,,,,,,,36.80,41.01,44.01,49.60,48.06,46.00,46.01,42.37,36.80,49.60,44.23,45.61
15/07/2019,,,,,,,,,,,,,,,,,,39.59,40.10,45.10,46.07,44.62,45.20,44.76,39.80,39.59,46.07,43.16,43.60
14/07/2019,,,,,,,,,,,,,,,,,,34.00,36.50,37.00,34.50,36.05,37.00,40.43,39.50,34.00,40.43,36.87,38.25
13/07/2019,,,,,,,,,,,,,,,,,,32.00,34.00,35.93,37.51,36.19,36.18,38.00,36.18,32.00,38.00,35.75,36.64
12/07/2019,,,,,,,,,,,,,,,,,,41.40,42.15,44.45,43.85,43.45,42.15,43.85,40.00,40.00,44.45,42.66,42.36
11/07/2019,,,,,,,,,,,,,,,,,,52.00,53.11,53.14,53.08,52.84,48.00,50.00,41.30,41.30,53.14,50.43,48.04
10/07/2019,,,,,,,,,,,,,,,,,,36.90,41.50,43.15,43.15,43.45,43.20,45.60,40.05,36.90,45.60,42.13,43.08
09/07/2019,,,,,,,,,,,,,,,,,,37.80,39.80,42.22,43.35,42.06,41.07,44.42,38.03,37.80,44.42,41.09,41.40
08/07/2019,,,,,,,,,,,,,,,,,,38.60,42.50,45.55,45.60,41.50,40.46,42.55,35.29,35.29,45.60,41.51,39.95
07/07/2019,,,,,,,,,,,,,,,,,,18.10,27.05,30.92,33.05,33.05,34.10,37.36,33.03,18.10,37.36,30.83,34.39
06/07/2019,,,,,,,,,,,,,,,,,,27.67,28.56,30.56,30.56,30.56,30.27,31.02,30.02,27.67,31.02,29.90,30.47
05/07/2019,,,,,,,,,,,,,,,,,,30.90,34.00,37.75,39.45,38.64,37.60,39.40,39.15,30.90,39.45,37.11,38.70
04/07/2019,,,,,,,,,,,,,,,,,,30.60,33.70,35.45,41.15,40.94,36.65,38.80,35.65,30.60,41.15,36.62,38.01
