# 30/12/2020 11:32:30 AM: Volumes - EPEX Spot Market Auction - germany_luxembourg
Delivery day,Hour 1,Hour 2,Hour 3A,Hour 3B,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Total Volume
06/11/2020,19390.3,20500.8,20608.2,,19515.3,18801.8,18497.2,20761.8,22889.2,21213.3,21404.1,22874.5,23732.6,24510.3,23844.8,23205.4,22823,22365.1,23624.3,22301.3,21877.2,21881.1,21037.7,19319.8,18405.1,515384.2
05/11/2020,19552.3,20809.8,20300.7,,19631.6,19383.2,18789.6,20343.5,23326.1,22750.2,24248,26331.7,26730.4,26918.6,25993.7,23988.4,22427.2,23060.7,23941.7,23544.8,22440,21928.2,19926.4,19607.3,20435.3,536409.4
04/11/2020,18347.3,18199.4,18818.3,,18169.5,17503,17248.4,19184.9,22237.9,20925.3,21228.5,21996.3,22990.7,22825.5,22126.6,22082.5,22024.3,23387.3,24468.7,23338.8,22324.1,21349,19192.5,18372.2,19870.5,498211.5
03/11/2020,21562.1,21264.4,22151.7,,22477.2,21281,20503.9,21584.1,24220.7,24067.8,23988.8,24238.7,25059.3,24917.7,24863.3,25303.3,24727.1,24738.6,25223.7,24343.1,23421.7,22960.7,21328,19254.4,19300.2,552781.5
02/11/2020,27690.2,27800.9,28249,,28193.3,28187.9,28657.4,28912.7,29141.9,32003.2,31965.1,32223.1,33272.5,33052.4,33069.2,32415.8,31431.1,30573,31325.4,30248,29315.7,26772.3,25226.7,24390.1,25008.8,709125.7
01/11/2020,27256.3,27255.2,29170.5,,28652.3,28638.8,29152.2,29382.8,29862.2,29328.6,29381.6,28306.2,29060.5,29690.4,29399.3,28982.5,28906.5,29166.2,29595.1,29407.9,27948.5,27806.7,27757.9,27947.7,27460.1,689516
31/10/2020,19648.2,20035.3,20319,,20798.6,21893.2,21977.8,22343.7,21659.8,22641.8,24324.9,25272.1,25578.9,24955.9,23618.9,23031.4,22550,21879.7,22616.6,23642.7,23476.9,21823.3,20955.8,20452.5,22139.3,537636.3
30/10/2020,24946.1,24916.6,25069.9,,25058.9,25601.9,26201.1,24520.5,26299.8,24322.2,24500.9,24822.6,24957.4,24680.2,24840.9,24927,24864.7,24927.6,26074.8,26353.4,25437.3,24999.5,23298.1,21484.9,20967.8,594074.1
29/10/2020,23909.8,24159.1,24182.9,,24182.7,24967.5,23342.6,23336.6,26281,25112.8,26014.7,26977.8,26970.9,26297.7,26156.6,25914.4,25914,26048.6,27382.9,27169.4,26677,26181.3,23663.2,20982.7,21877.4,603703.6
28/10/2020,25768,25507.3,25369.7,,25901.5,25632.8,23595.1,23118.3,25211.1,22061.1,22694.4,22730.5,22741.2,22735.5,22643.5,21822.8,21318.8,21807.7,23035.3,23529.5,22833.7,25667.7,25052.3,22367.1,23858.3,567003.2
