# 31/12/2013 04:19:26 PM : Block Values - EPEX Spot Intraday Trading - France
Delivery day,Hour from,Hour to,Volume Buy (MW),Volume Sell (MW),Low Price (EUR/MWh),High Price (EUR/MWh),Last Price (EUR/MWh),Time Stamp of Last Price,Index Price,Weighted Average Price
22/11/2013,18,19,35.0,35.0,74.50000,74.50000,74.50000,22/11/2013 10:01:00,,74.50000
21/11/2013,11,21,0.0,30.0,60.00000,60.00000,60.00000,21/11/2013 00:51:00,,60.00000
21/11/2013,15,18,50.0,50.0,69.50000,69.50000,69.50000,21/11/2013 11:32:00,,69.50000
21/11/2013,9,14,0.0,50.0,59.00000,59.00000,59.00000,21/11/2013 00:51:00,,59.00000
21/11/2013,22,24,113.0,113.0,57.50000,60.00000,60.00000,21/11/2013 17:20:00,,58.34071
21/11/2013,14,18,6.0,0.0,67.00000,67.00000,67.00000,21/11/2013 11:33:00,,67.00000
21/11/2013,12,24,5.0,0.0,70.00000,70.00000,70.00000,21/11/2013 08:40:00,,70.00000
21/11/2013,9,20,0.0,65.0,65.55000,67.50000,65.55000,21/11/2013 00:51:00,,66.78462
21/11/2013,13,16,10.0,90.0,58.00000,62.00000,62.00000,21/11/2013 00:55:00,,59.77778
21/11/2013,9,10,0.0,50.0,60.00000,60.00000,60.00000,21/11/2013 00:51:00,,60.00000
21/11/2013,11,24,220.0,220.0,70.00000,72.00000,70.00000,21/11/2013 08:16:00,,70.90909
20/11/2013,9,20,160.0,160.0,69.00000,72.00000,72.00000,20/11/2013 02:48:00,,71.81250
20/11/2013,20,21,60.0,60.0,66.00000,66.00000,66.00000,20/11/2013 16:59:00,,66.00000
19/11/2013,14,24,0.0,40.0,64.00000,64.00000,64.00000,19/11/2013 09:29:00,,64.00000
19/11/2013,9,20,205.0,205.0,69.50000,73.00000,69.50000,19/11/2013 03:05:00,,72.91463
18/11/2013,15,20,50.0,50.0,68.50000,68.50000,68.50000,18/11/2013 11:38:00,,68.50000
18/11/2013,17,20,50.0,50.0,72.50000,72.50000,72.50000,18/11/2013 13:26:00,,72.50000
18/11/2013,14,15,60.0,60.0,64.00000,64.00000,64.00000,18/11/2013 11:41:00,,64.00000
17/11/2013,23,24,100.0,100.0,56.50000,56.50000,56.50000,17/11/2013 19:39:00,,56.50000
17/11/2013,19,24,10.0,10.0,58.00000,58.00000,58.00000,17/11/2013 16:47:00,,58.00000
17/11/2013,1,24,5.0,5.0,46.00000,46.00000,46.00000,16/11/2013 22:35:00,,46.00000
17/11/2013,3,5,30.0,0.0,32.00000,32.00000,32.00000,16/11/2013 22:52:00,,32.00000
15/11/2013,2,8,10.0,10.0,53.00000,53.00000,53.00000,14/11/2013 22:22:00,,53.00000
15/11/2013,2,10,16.0,16.0,53.00000,53.00000,53.00000,14/11/2013 22:20:00,,53.00000
15/11/2013,8,10,30.0,0.0,,,,,,
15/11/2013,2,9,30.0,30.0,53.00000,53.00000,53.00000,14/11/2013 22:21:00,,53.00000
13/11/2013,10,11,100.0,100.0,67.00000,67.00000,67.00000,13/11/2013 07:30:00,,67.00000
13/11/2013,17,21,22.0,0.0,61.00000,61.00000,61.00000,13/11/2013 14:33:00,,61.00000
13/11/2013,8,9,225.0,0.0,52.50000,52.50000,52.50000,13/11/2013 05:26:00,,52.50000
11/11/2013,16,17,200.0,200.0,43.50000,43.50000,43.50000,11/11/2013 10:08:00,,43.50000
11/11/2013,23,24,127.0,127.0,44.50000,45.00000,44.50000,11/11/2013 14:45:00,,44.79435
10/11/2013,9,17,0.0,50.0,28.00000,28.00000,28.00000,10/11/2013 05:25:00,,28.00000
08/11/2013,17,22,0.0,15.0,56.00000,56.00000,56.00000,08/11/2013 13:35:00,,56.00000
08/11/2013,17,20,0.0,50.0,66.75000,66.75000,66.75000,08/11/2013 12:18:00,,66.75000
08/11/2013,8,20,280.0,280.0,59.00000,59.00000,59.00000,07/11/2013 21:58:00,,59.00000
08/11/2013,19,20,0.0,90.0,60.25000,60.25000,60.25000,08/11/2013 10:53:00,,60.25000
08/11/2013,11,20,1.0,0.0,62.00000,62.00000,62.00000,08/11/2013 08:16:00,,62.00000
08/11/2013,2,10,50.0,50.0,35.00000,35.00000,35.00000,07/11/2013 22:04:00,,35.00000
08/11/2013,9,20,0.0,75.0,56.50000,57.00000,57.00000,08/11/2013 03:58:00,,56.66667
08/11/2013,21,24,0.0,50.0,40.00000,40.00000,40.00000,08/11/2013 15:23:00,,40.00000
08/11/2013,11,24,320.0,320.0,51.00000,51.00000,51.00000,07/11/2013 20:41:00,,51.00000
08/11/2013,1,10,50.0,50.0,25.00000,25.00000,25.00000,07/11/2013 22:15:00,,25.00000
07/11/2013,18,24,100.0,100.0,60.00000,60.00000,60.00000,07/11/2013 13:18:00,,60.00000
07/11/2013,18,19,0.0,1.0,,,,,,
07/11/2013,19,20,150.0,150.0,73.00000,73.00000,73.00000,07/11/2013 13:54:00,,73.00000
06/11/2013,4,5,75.0,0.0,,,,,,
06/11/2013,18,20,0.0,100.0,63.00000,63.00000,63.00000,06/11/2013 12:08:00,,63.00000
04/11/2013,11,20,10.0,10.0,58.00000,58.00000,58.00000,03/11/2013 18:58:00,,58.00000
04/11/2013,11,24,30.0,30.0,56.00000,56.00000,56.00000,03/11/2013 18:58:00,,56.00000
03/11/2013,22,24,0.0,52.0,19.00000,19.00000,19.00000,03/11/2013 19:39:00,,19.00000
02/11/2013,1,24,29.0,29.0,31.00000,33.50000,33.50000,01/11/2013 20:50:00,,33.13311
01/11/2013,2,3,100.0,100.0,22.00000,22.00000,22.00000,31/10/2013 19:40:00,,22.00000
01/11/2013,18,24,100.0,0.0,34.00000,36.50000,36.50000,01/11/2013 12:24:00,,35.12500
01/11/2013,21,24,50.0,0.0,33.50000,33.50000,33.50000,01/11/2013 09:19:00,,33.50000
01/11/2013,20,24,50.0,0.0,35.00000,35.00000,35.00000,01/11/2013 17:43:00,,35.00000
01/11/2013,14,24,20.0,0.0,32.00000,32.00000,32.00000,01/11/2013 08:21:00,,32.00000
01/11/2013,1,24,238.0,238.0,29.50000,31.50000,29.50000,31/10/2013 22:27:00,,30.17227
31/10/2013,23,24,100.0,100.0,40.00000,40.00000,40.00000,31/10/2013 18:08:00,,40.00000
31/10/2013,2,3,22.0,22.0,35.00000,35.00000,35.00000,30/10/2013 23:13:00,,35.00000
